,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,likes_people,keep_in,prob_likes,labels,age_interval
1743,2,0,10.67,male,Fox Terrier,2012-07-03,2013-02-12,2013-02-12,brown and white,short,small,no,yes,both flat and garden,0.9887928963063234,10,Middle_age
1744,28,0,7.0,female,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,white,medium,medium,unknow,no,unknow,0.30383680674041047,2,Young
1745,485,0,7.42,male,Staffordshire Terrier Mix,2013-01-22,2013-03-04,2013-02-01,yellow-brown,short,medium,unknow,yes,both flat and garden,0.985490250487106,10,Young
1746,899,0,7.25,male,Unknown Mix,2013-01-23,2013-01-23,2013-02-05,yellow,short,medium,yes,yes,both flat and garden,0.9807553547653831,9,Young
1747,900,0,7.25,male,Unknown Mix,2013-01-23,2013-01-23,2013-02-05,black,short,medium,unknow,yes,both flat and garden,0.9653045295049176,7,Young
1748,29,0,7.42,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,black and white,short,medium,unknow,no,unknow,0.7302960717134356,4,Young
1749,23,0,7.75,female,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,spotty,short,medium,yes,no,unknow,0.1648465527075534,2,Young
1750,25,0,10.75,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,apricot,short,medium,unknow,no,unknow,0.36575758389343715,2,Middle_age
1751,489,0,15.92,male,Great Dane Mix,2013-01-29,2013-03-10,2013-02-18,brown,short,medium,unknow,yes,both flat and garden,0.9715380032866824,8,Old
1752,24,0,7.75,female,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,spotty,short,medium,yes,no,unknow,0.1648465527075534,2,Young
1753,72,1,9.42,female,Pekingese,2013-02-09,2013-02-09,2013-02-13,brown and white,medium,small,no,yes,both flat and garden,0.9344693757112005,5,Middle_age
1754,514,0,9.25,male,Unknown Mix,2010-11-01,2010-11-01,2013-02-16,apricot,short,medium,unknow,yes,garden,0.9322506504215555,5,Middle_age
1755,316,0,12.92,female,Unknown Mix,2013-02-02,2013-02-02,2013-02-03,spotty,medium,medium,unknow,yes,unknow,0.6339421193056618,3,Old
1756,26,0,7.08,female,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,black and white,short,medium,unknow,no,unknow,0.6606835313604417,3,Young
1757,1,0,10.08,male,Fox Terrier Mix,2012-07-23,2013-03-20,2013-02-11,tricolor,wirehaired,small,no,yes,both flat and garden,0.988253535320206,10,Middle_age
1758,3,0,7.58,male,Unknown Mix,2012-08-20,2012-08-20,2013-02-12,brown and white,long,medium,no,yes,both flat and garden,0.9793476378579432,9,Young
1759,60,0,11.67,female,German Pointer Mix,2013-02-20,2013-02-20,2013-02-20,black and white,wirehaired,medium,unknow,yes,garden,0.924310196407017,5,Old
1760,64,0,11.5,male,Unknown Mix,2009-06-09,2013-01-23,2013-01-23,black,long,large,yes,yes,garden,0.9304318124132799,5,Old
1761,463,0,8.17,male,Unknown Mix,2012-10-20,2013-01-30,2013-01-21,black and brown,medium,medium,unknow,yes,both flat and garden,0.7979953666244733,4,Young
1762,460,0,8.92,male,Labrador Retriever Mix,2012-11-30,2013-01-30,2013-01-20,black,short,medium,unknow,yes,both flat and garden,0.9825602697926438,10,Middle_age
1763,462,0,16.92,male,German Shepherd Dog Mix,2012-12-06,2013-02-10,2013-01-21,saddle back,medium,medium,unknow,yes,both flat and garden,0.9692716169678794,8,Old
1764,469,0,16.92,male,German Shepherd Dog Mix,2012-12-27,2013-02-10,2013-01-21,sable,medium,large,unknow,yes,both flat and garden,0.9689567920386656,8,Old
1765,466,0,7.33,female,Unknown Mix,2012-09-28,2013-01-30,2013-01-21,brown,short,medium,unknow,yes,both flat and garden,0.9633143042860934,7,Young
1766,59,0,10.25,female,Unknown Mix,2010-05-04,2013-01-23,2013-01-23,black and white,short,large,yes,yes,garden,0.948054063471539,6,Middle_age
1767,484,0,9.0,male,Unknown Mix,2013-01-22,2013-02-20,2013-02-01,red,medium,medium,unknow,yes,both flat and garden,0.9702304875007614,8,Middle_age
1768,70,0,11.42,male,Pekingese Mix,2012-11-10,2012-11-10,2013-02-01,black and brown,medium,small,no,yes,both flat and garden,0.9636401512127728,7,Old
1769,465,0,7.33,female,Unknown Mix,2012-09-28,2013-01-30,2013-01-21,brown,short,medium,unknow,yes,both flat and garden,0.9633143042860934,7,Young
